원광대,1786,3546,2953,NNP,*,F,원광대,*,*,*,*
위덕대,1786,3546,2953,NNP,*,F,위덕대,*,*,*,*
을지대,1786,3546,2953,NNP,*,F,을지대,*,*,*,*
인제대,1786,3546,2953,NNP,*,F,인제대,*,*,*,*
인천가톨릭대,1786,3546,2953,NNP,*,F,인천가톨릭대,*,*,*,*
인하대,1786,3546,2953,NNP,*,F,인하대,*,*,*,*
전남대,1786,3546,2953,NNP,*,F,전남대,*,*,*,*
전북대,1786,3546,2953,NNP,*,F,전북대,*,*,*,*
전주교대,1786,3546,2953,NNP,*,F,전주교대,*,*,*,*
전주대,1786,3546,2953,NNP,*,F,전주대,*,*,*,*
정석대,1786,3546,2953,NNP,*,F,정석대,*,*,*,*
제주국제대,1786,3546,2953,NNP,*,F,제주국제대,*,*,*,*
제주대,1786,3546,2953,NNP,*,F,제주대,*,*,*,*
중부대,1786,3546,2953,NNP,*,F,중부대,*,*,*,*
중앙대,1786,3546,2953,NNP,*,F,중앙대,*,*,*,*
중원대,1786,3546,2953,NNP,*,F,중원대,*,*,*,*
창신대,1786,3546,2953,NNP,*,F,창신대,*,*,*,*
창원대,1786,3546,2953,NNP,*,F,창원대,*,*,*,*
청운대,1786,3546,2953,NNP,*,F,청운대,*,*,*,*
청주교대,1786,3546,2953,NNP,*,F,청주교대,*,*,*,*
청주대,1786,3546,2953,NNP,*,F,청주대,*,*,*,*
초당대,1786,3546,2953,NNP,*,F,초당대,*,*,*,*
춘천교대,1786,3546,2953,NNP,*,F,춘천교대,*,*,*,*
충남대,1786,3546,2953,NNP,*,F,충남대,*,*,*,*
충북대,1786,3546,2953,NNP,*,F,충북대,*,*,*,*
칼빈대,1786,3546,2953,NNP,*,F,칼빈대,*,*,*,*
탐라대,1786,3546,2953,NNP,*,F,탐라대,*,*,*,*
평택대,1786,3546,2953,NNP,*,F,평택대,*,*,*,*
포항공대,1786,3546,2953,NNP,*,F,포항공대,*,*,*,*
한경대,1786,3546,2953,NNP,*,F,한경대,*,*,*,*
한국교대,1786,3546,2953,NNP,*,F,한국교대,*,*,*,*
한국방통대,1786,3546,2953,NNP,*,F,한국방통대,*,*,*,*
한국외대,1786,3546,2953,NNP,*,F,한국외대,*,*,*,*
한국체대,1786,3546,2953,NNP,*,F,한국체대,*,*,*,*
한국항공대,1786,3546,2953,NNP,*,F,한국항공대,*,*,*,*
한남대,1786,3546,2953,NNP,*,F,한남대,*,*,*,*
한동대,1786,3546,2953,NNP,*,F,한동대,*,*,*,*
한라대,1786,3546,2953,NNP,*,F,한라대,*,*,*,*
한려대,1786,3546,2953,NNP,*,F,한려대,*,*,*,*
한림대,1786,3546,2953,NNP,*,F,한림대,*,*,*,*
한밭대,1786,3546,2953,NNP,*,F,한밭대,*,*,*,*
한북대,1786,3546,2953,NNP,*,F,한북대,*,*,*,*
한서대,1786,3546,2953,NNP,*,F,한서대,*,*,*,*
한성대,1786,3546,2953,NNP,*,F,한성대,*,*,*,*
한세대,1786,3546,2953,NNP,*,F,한세대,*,*,*,*
한신대,1786,3546,2953,NNP,*,F,한신대,*,*,*,*
한일장신대,1786,3546,2953,NNP,*,F,한일장신대,*,*,*,*
협성대,1786,3546,2953,NNP,*,F,협성대,*,*,*,*
호남대,1786,3546,2953,NNP,*,F,호남대,*,*,*,*
호남신학대,1786,3546,2953,NNP,*,F,호남신학대,*,*,*,*
호서대,1786,3546,2953,NNP,*,F,호서대,*,*,*,*
호원대,1786,3546,2953,NNP,*,F,호원대,*,*,*,*
홍익대,1786,3546,2953,NNP,*,F,홍익대,*,*,*,*
